,Name,ideology,Amt
561, Dianne Feinstein (D) ,Unions,43000
562, Christopher S Murphy (D) ,Unions,87000
563, Robert Menendez (D) ,Unions,80400
564, Angus King (I) ,Unions,104000
565, Mazie K Hirono (D) ,Unions,121639
566, Sheldon Whitehouse (D) ,Unions,69150
567, Mike Crapo (R) ,Unions,3500
568, Cindy Hyde-Smith (R) ,Unions,4000
569, Claire McCaskill (D) ,Unions,177500
570, Doug Jones (D) ,Unions,148918
571, Joe Donnelly (D) ,Unions,149250
572, Tammy Baldwin (D) ,Unions,164750
573, Tim Kaine (D) ,Unions,112100
574, Martin Heinrich (D) ,Unions,101762
575, Tom Carper (D) ,Unions,32000
576, Ben Cardin (D) ,Unions,119000
577, Bob Casey (D) ,Unions,150000
578, Roger Wicker (R) ,Unions,27000
579, Deb Fischer (R) ,Unions,44083
580, Amy Klobuchar (D) ,Unions,110500
581, Jon Tester (D) ,Unions,119000
582, Dean Heller (R) ,Unions,22000
583, Debbie Stabenow (D) ,Unions,121000
584, Joe Manchin (D) ,Unions,125000
585, John A Barrasso (R) ,Unions,5000
586, Heidi Heitkamp (D) ,Unions,139500
587, Bill Nelson (D) ,Unions,1202966
588, Orrin G Hatch (R) ,MFG,42075
589, Todd Young (R) ,MFG,10500
590, Elizabeth Warren (D) ,MFG,0
591, Bob Corker (R) ,MFG,19500
592, Gary Peters (D) ,MFG,3000
593, Ron Johnson (R) ,MFG,24500
594, Lindsey Graham (R) ,MFG,9500
595, James M Inhofe (R) ,MFG,17451
596, Patty Murray (D) ,MFG,6000
597, Marco Rubio (R) ,MFG,4000
598, Ben Sasse (R) ,MFG,1000
599, Tom Cotton (R) ,MFG,3500
600, Ed Markey (D) ,MFG,7000
601, Mike Rounds (R) ,MFG,21348
602, Brian Schatz (D) ,MFG,0
603, Steven Daines (R) ,MFG,3500
604, Tammy Duckworth (D) ,MFG,5000
605, Dan Sullivan (R) ,MFG,0
606, Catherine Cortez Masto (D) ,MFG,0
607, Jeanne Shaheen (D) ,MFG,4500
608, Joni Ernst (R) ,MFG,18000
609, Jerry Moran (R) ,MFG,11000
610, James Lankford (R) ,MFG,10500
611, Lamar Alexander (R) ,MFG,10500
612, Dick Durbin (D) ,MFG,9000
613, John Hoeven (R) ,MFG,7750
614, Cory Booker (D) ,MFG,4000
615, Chris Coons (D) ,MFG,7000
616, John Boozman (R) ,MFG,5500
617, Jack Reed (D) ,MFG,0
618, Chuck Grassley (R) ,MFG,2000
619, Rand Paul (R) ,MFG,0
620, Mike Lee (R) ,MFG,2300
621, Maggie Hassan (D) ,MFG,2500
622, Bernie Sanders (I) ,MFG,0
623, Michael F Bennet (D) ,MFG,-2000
624, Maria Cantwell (D) ,MFG,0
625, Mike Enzi (R) ,MFG,11000
626, Patrick Leahy (D) ,MFG,1000
627, James E Risch (R) ,MFG,6668
628, Tom Udall (D) ,MFG,5000
629, Richard Blumenthal (D) ,MFG,4000
630, Charles E Schumer (D) ,MFG,2000
631, Richard Burr (R) ,MFG,2500
632, Jeff Merkley (D) ,MFG,0
633, Kamala D Harris (D) ,MFG,1666
634, Richard C Shelby (R) ,MFG,0
635, Chris Van Hollen (D) ,MFG,0
636, Ted Cruz (R) ,MFG,30000
637, Tina Smith (D) ,MFG,12000
638, Jeff Flake (R) ,MFG,17500
639, Kirsten Gillibrand (D) ,MFG,8000
640, John Cornyn (R) ,MFG,41000
641, Mitch McConnell (R) ,MFG,19200
642, Thom Tillis (R) ,MFG,21000
643, Pat Toomey (R) ,MFG,34166
644, Bill Cassidy (R) ,MFG,20500
645, Mark Warner (D) ,MFG,12500
646, Tim Scott (R) ,MFG,24000
647, Rob Portman (R) ,MFG,49666
648, John Thune (R) ,MFG,15000
649, Cory Gardner (R) ,MFG,11000
650, David Perdue (R) ,MFG,5000
651, Susan Collins (R) ,MFG,6000
652, Lisa Murkowski (R) ,MFG,12166
653, John Kennedy (R) ,MFG,10000
654, Pat Roberts (R) ,MFG,3000
655, Shelley Moore Capito (R) ,MFG,21000
656, Johnny Isakson (R) ,MFG,23000
657, Ron Wyden (D) ,MFG,7000
658, Sherrod Brown (D) ,MFG,53500
659, Dianne Feinstein (D) ,MFG,35000
660, Christopher S Murphy (D) ,MFG,31500
661, Robert Menendez (D) ,MFG,17000
662, Angus King (I) ,MFG,9000
663, Mazie K Hirono (D) ,MFG,1000
664, Sheldon Whitehouse (D) ,MFG,8000
665, Mike Crapo (R) ,MFG,18582
