Cand_ID,ideology,Amt
N00002593,F3200,6000
N00002593,F3300,17000
N00002593,F3400,-1500
N00002593,F4100,2500
N00002593,F4200,1000
N00002593,F4600,1000
N00002593,F5100,2000
N00002593,F5500,4000
N00002593,G0000,1000
N00002593,G2100,1000
N00002593,G2400,7500
N00002593,G2500,1000
N00002593,G2810,1000
N00002593,G3500,1000
N00002593,G4300,2500
N00002593,G4900,4000
N00002593,H1100,2000
N00002593,H1110,1000
N00002593,H1130,16500
N00002593,H1700,3000
N00002593,H1710,1500
N00002593,H2100,16500
N00002593,H2200,5000
N00002593,H3100,2000
N00002593,H3200,3000
N00002593,H3400,2500
N00002593,H3700,2500
N00002593,H3900,8000
N00002593,H4000,2000
N00002593,H4100,-1000
N00002593,H4300,41500
N00002593,H4400,3000
N00002593,H4500,7000
N00002593,H4600,1000
N00002593,H5300,6000
N00002593,J6100,861
N00002593,JE300,1000
N00002593,K1000,6000
N00002593,K1200,3500
N00002593,LT100,6000
N00002593,M0000,1000
N00002593,M1000,0
N00002593,M1300,6000
N00002593,M2300,1000
N00002593,M3100,2500
N00002593,M3200,2500
N00002593,M3300,1000
N00002593,M4300,3000
N00002593,M7100,5000
N00002593,M8000,1000
N00002593,T1100,2500
N00002593,T1200,2000
N00002593,T2100,2000
N00002593,T2200,1000
N00002593,T2500,0
N00002593,T5100,12500
N00002593,T7100,-2500
N00002593,X4000,0
N00003280,A1100,3000
N00003280,A1200,22500
N00003280,A1300,2500
N00003280,A1400,15000
N00003280,A1500,4000
N00003280,A1600,17000
N00003280,A2000,5000
N00003280,A2300,3000
N00003280,A4000,6500
N00003280,A4100,2000
N00003280,A4200,10000
N00003280,A5000,26000
N00003280,A5200,11000
N00003280,A8000,2000
N00003280,B0500,10000
N00003280,B1000,8500
N00003280,B2000,5500
N00003280,B3200,3500
N00003280,B4000,17500
N00003280,B5100,19750
N00003280,B5200,1000
N00003280,C1100,1000
N00003280,C2000,11500
N00003280,C2100,38000
N00003280,C2200,6500
N00003280,C2400,8000
N00003280,C4000,8500
N00003280,C4100,33200
N00003280,C4300,21500
N00003280,C4400,7200
N00003280,C4500,26000
N00003280,C4600,3500
N00003280,C5000,12000
N00003280,C5110,7000
N00003280,C5120,11000
N00003280,C5200,7500
N00003280,C6000,1000
N00003280,C6200,8500
N00003280,C6400,7500
N00003280,D2000,49000
N00003280,D3000,46625
N00003280,D4000,2000
N00003280,D5000,10000
N00003280,D6000,1000
N00003280,D9000,8000
N00003280,E1100,7000
N00003280,E1110,24000
N00003280,E1120,15200
N00003280,E1140,3500
N00003280,E1150,2000
N00003280,E1160,27000
N00003280,E1170,1000
N00003280,E1210,5000
N00003280,E1240,10000
N00003280,E1300,9000
N00003280,E1320,8000
N00003280,E1600,10000
N00003280,E1610,6000
N00003280,E1620,21000
N00003280,E3000,1500
N00003280,E4000,1500
N00003280,E4200,11500
N00003280,E5000,5000
N00003280,F1000,1000
N00003280,F1100,30161
N00003280,F1300,7000
N00003280,F1400,2000
N00003280,F2000,5500
N00003280,F2100,15000
N00003280,F2300,2500
N00003280,F3100,24000
N00003280,F3200,12000
N00003280,F3300,21000
N00003280,F3400,11500
N00003280,F4100,18500
N00003280,F4200,3000
N00003280,F4600,3500
N00003280,F5100,23500
N00003280,F5200,6000
N00003280,G1000,6000
N00003280,G1200,3500
N00003280,G2400,3500
N00003280,G2500,1000
N00003280,G2600,1000
N00003280,G2700,2500
N00003280,G2810,1000
N00003280,G2820,1000
N00003280,G2850,12500
N00003280,G2900,5500
N00003280,G4000,1000
N00003280,G4200,2000
N00003280,G4300,3500
N00003280,G4500,10000
N00003280,G4900,8000
N00003280,G5250,5000
N00003280,G5290,1000
N00003280,G5300,7900
N00003280,G5500,5000
N00003280,G6400,7000
N00003280,G6500,3000
N00003280,G6550,2500
N00003280,G7000,2500
N00003280,H1100,1500
N00003280,H1120,9000
N00003280,H1130,10000
N00003280,H1400,14500
N00003280,H1700,4000
N00003280,H1710,8500
N00003280,H1750,13000
N00003280,H2100,6000
N00003280,H2200,10000
N00003280,H3000,1000
N00003280,H3200,15500
N00003280,H3300,2500
N00003280,H3700,10500
N00003280,H4100,11500
N00003280,H4300,18000
N00003280,H4400,3000
N00003280,J1100,45510
N00003280,J2200,389900
N00003280,J2400,7500
N00003280,J5100,36100
N00003280,J5200,5000
N00003280,J6100,861
N00003280,J6200,9950
N00003280,J7120,10
N00003280,JE300,6000
N00003280,JH100,10000
N00003280,K1000,58000
N00003280,K1200,15000
N00003280,K2000,12500
N00003280,L1100,11000
N00003280,LT100,13500
N00003280,LT500,2500
N00003280,M1000,10500
N00003280,M1300,5500
N00003280,M1400,1000
N00003280,M2100,2000
N00003280,M2400,6000
N00003280,M3200,1000
N00003280,M4300,1000
N00003280,M9000,2000
N00003280,T1100,2500
N00003280,T1200,13000
N00003280,T1300,9000
N00003280,T1400,0
N00003280,T1500,1000
N00003280,T1600,4500
N00003280,T2100,25058
N00003280,T2200,7200
N00003280,T2300,10000
N00003280,T2310,7000
N00003280,T2500,5000
N00003280,T3100,2000
N00003280,T3200,5000
N00003280,T5100,33980
N00003280,T5200,3500
N00003280,T5300,5500
N00003280,T6100,10000
N00003280,T6200,32500
N00003280,T6250,3500
N00003280,T8100,1000
N00003280,T8300,9500
N00003280,T9000,3500
N00003280,T9100,16000
N00003280,T9400,2500
N00003280,X4000,6000
N00003280,Z1100,3000
N00003280,Z9600,61095
N00003389,A0000,1000
N00003389,A1300,4500
N00003389,A2000,4500
N00003389,A3000,3500
N00003389,A3100,6000
N00003389,A4000,2500
N00003389,A4100,2500
N00003389,A5000,5000
N00003389,A6000,2500
N00003389,B1000,7500
N00003389,B4000,1000
N00003389,B5100,15000
N00003389,C2100,10000
N00003389,C2200,2500
N00003389,C4300,2500
N00003389,C5000,1000
N00003389,C5110,1000
N00003389,C5120,10000
N00003389,C5130,2500
N00003389,C6000,2000
N00003389,C6200,2500
N00003389,C6300,1000
N00003389,D2000,25500
N00003389,D8000,7500
N00003389,D9000,5000
N00003389,E1120,5000
N00003389,E1300,10000
N00003389,E1500,3500
N00003389,E1600,2500
N00003389,E1620,12500
N00003389,E5000,2500
N00003389,F1100,38500
N00003389,F1300,9000
N00003389,F1400,7500
N00003389,F1420,2500
N00003389,F2000,0
N00003389,F2100,29500
N00003389,F2110,2500
N00003389,F2300,5000
N00003389,F2500,5000
N00003389,F2600,5000
N00003389,F2700,5000
