,Name,Party,ideology,Amt
515, Joe Donnelly (D) ,D,Unions,149250
516, Elizabeth Warren (D) ,D,Unions,121275
517, Joe Manchin (D) ,D,Unions,125000
518, Gary Peters (D) ,D,Unions,14000
519, Debbie Stabenow (D) ,D,Unions,121000
520, Jon Tester (D) ,D,Unions,119000
521, Patty Murray (D) ,D,Unions,21510
522, Amy Klobuchar (D) ,D,Unions,110500
523, Mark Warner (D) ,D,Unions,6500
524, Ed Markey (D) ,D,Unions,50500
525, Dick Durbin (D) ,D,Unions,15500
526, Bob Casey (D) ,D,Unions,150000
527, Ron Wyden (D) ,D,Unions,1500
528, Ben Cardin (D) ,D,Unions,119000
529, Tammy Duckworth (D) ,D,Unions,27750
530, Tom Carper (D) ,D,Unions,32000
531, Catherine Cortez Masto (D) ,D,Unions,4750
532, Jeanne Shaheen (D) ,D,Unions,19250
533, Martin Heinrich (D) ,D,Unions,101762
534, Tim Kaine (D) ,D,Unions,112100
535, Tammy Baldwin (D) ,D,Unions,164750
536, Brian Schatz (D) ,D,Unions,31000
537, Bernie Sanders (I) ,I,Unions,21100
538, Angus King (I) ,I,Unions,104000
539, Pat Roberts (R) ,R,Unions,1000
540, Johnny Isakson (R) ,R,Unions,6000
541, Shelley Moore Capito (R) ,R,Unions,14500
542, John Kennedy (R) ,R,Unions,7000
543, Lisa Murkowski (R) ,R,Unions,18000
544, Cindy Hyde-Smith (R) ,R,Unions,4000
545, Susan Collins (R) ,R,Unions,11500
546, Roger Wicker (R) ,R,Unions,27000
547, Deb Fischer (R) ,R,Unions,44083
548, Dean Heller (R) ,R,Unions,22000
549, John A Barrasso (R) ,R,Unions,5000
550, Mike Crapo (R) ,R,Unions,3500
551, David Perdue (R) ,R,Unions,4500
552, Orrin G Hatch (R) ,R,Unions,7500
553, John Thune (R) ,R,Unions,12000
554, James Lankford (R) ,R,Unions,21000
555, Jerry Moran (R) ,R,Unions,9000
556, Joni Ernst (R) ,R,Unions,2000
557, Dan Sullivan (R) ,R,Unions,11000
558, Steven Daines (R) ,R,Unions,5500
559, Mike Rounds (R) ,R,Unions,6000
560, Lamar Alexander (R) ,R,Unions,2500
561, Tom Cotton (R) ,R,Unions,0
562, Marco Rubio (R) ,R,Unions,14500
563, James M Inhofe (R) ,R,Unions,9500
564, Lindsey Graham (R) ,R,Unions,6200
565, Ron Johnson (R) ,R,Unions,21000
566, Bob Corker (R) ,R,Unions,3500
567, Todd Young (R) ,R,Unions,0
568, Ben Sasse (R) ,R,Unions,2000
569, Cory Gardner (R) ,R,Unions,1000
570, John Hoeven (R) ,R,Unions,3500
571, Chuck Grassley (R) ,R,Unions,1000
572, Rob Portman (R) ,R,Unions,6500
573, Tim Scott (R) ,R,Unions,5500
574, Bill Cassidy (R) ,R,Unions,1000
575, Pat Toomey (R) ,R,Unions,5500
576, Thom Tillis (R) ,R,Unions,1000
577, Mitch McConnell (R) ,R,Unions,8700
578, John Boozman (R) ,R,Unions,3500
579, John Cornyn (R) ,R,Unions,1000
580, Richard C Shelby (R) ,R,Unions,0
581, Richard Burr (R) ,R,Unions,0
582, James E Risch (R) ,R,Unions,0
583, Mike Enzi (R) ,R,Unions,0
584, Mike Lee (R) ,R,Unions,2000
585, Rand Paul (R) ,R,Unions,0
586, Jeff Flake (R) ,R,Unions,1000
587, Ted Cruz (R) ,R,Unions,6500
588, Bill Nelson (D) ,D,MFG,25500
589, Chris Coons (D) ,D,MFG,7000
590, Claire McCaskill (D) ,D,MFG,34500
591, Jack Reed (D) ,D,MFG,0
592, Sheldon Whitehouse (D) ,D,MFG,8000
593, Maggie Hassan (D) ,D,MFG,2500
594, Michael F Bennet (D) ,D,MFG,-2000
595, Maria Cantwell (D) ,D,MFG,0
596, Mazie K Hirono (D) ,D,MFG,1000
597, Patrick Leahy (D) ,D,MFG,1000
598, Tom Udall (D) ,D,MFG,5000
599, Richard Blumenthal (D) ,D,MFG,4000
600, Charles E Schumer (D) ,D,MFG,2000
601, Robert Menendez (D) ,D,MFG,17000
602, Jeff Merkley (D) ,D,MFG,0
603, Kamala D Harris (D) ,D,MFG,1666
604, Christopher S Murphy (D) ,D,MFG,31500
605, Chris Van Hollen (D) ,D,MFG,0
606, Heidi Heitkamp (D) ,D,MFG,200300
